City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Bambous Virieux,MU,81.0,light rain,-20.3428,57.7575,Casa Tia Villa
3,Kot Diji,PK,84.2,haze,27.3427,68.7083,"Heritage Park, Restaurant & Guesthouse Kotdiji"
4,Kapaa,US,75.2,overcast clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
7,Butaritari,KI,81.68,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
10,Rikitea,PF,76.98,light rain,-23.1203,-134.9692,Pension Maro'i
13,Maragogi,BR,82.26,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
14,Vaini,TO,77.0,few clouds,-21.2,-175.2,Keleti Beach Resort
18,Alvorada,BR,88.95,scattered clouds,-12.48,-49.1247,Cristal Plaza Hotel
20,Mbandaka,CD,75.58,light rain,0.0487,18.2603,Guest House Epervier
22,Offa,NG,88.38,overcast clouds,8.15,4.7167,Adlag Hotel
27,Anloga,GH,84.2,few clouds,5.7947,0.8973,Pin Drop Hotel
30,Puerto Ayora,EC,84.2,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
31,Hambantota,LK,75.2,clear sky,6.1241,81.1185,Bungalow 63
32,Gola Gokarannath,IN,74.44,clear sky,28.0833,80.4667,Vikas Home
39,Victoria,HK,73.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
41,Vila Velha,BR,80.6,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
43,Saint-Georges,GD,84.2,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
49,Atuona,PF,80.46,scattered clouds,-9.8,-139.0333,Villa Enata
50,Elizabeth City,US,73.0,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
58,Cidreira,BR,75.0,clear sky,-30.1811,-50.2056,Hotel Castelo
61,Chuy,UY,74.1,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
64,Hilo,US,77.0,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
66,San-Pedro,CI,80.62,clear sky,4.7485,-6.6363,Hotel Maria
71,Mahebourg,MU,81.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
72,Georgetown,MY,84.0,few clouds,5.4112,100.3354,Cititel Penang
77,Macau,MO,73.4,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
79,Kawalu,ID,72.95,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
81,Alofi,NU,77.0,overcast clouds,-19.0595,-169.9187,Taloa Heights
83,Castro,BR,72.57,clear sky,-24.7911,-50.0119,CHACARA BAILLY
