City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Kondinskoye,RU,59.6481,67.41,33.85,94,100,9.91,overcast clouds
1,Bambous Virieux,MU,-20.3428,57.7575,81.0,75,17,5.99,light rain
2,Sitka,US,57.0531,-135.33,39.2,87,90,4.61,light rain
3,Kot Diji,PK,27.3427,68.7083,84.2,45,0,7.11,haze
4,Kapaa,US,22.0752,-159.319,75.2,64,90,17.27,overcast clouds
5,Chokurdakh,RU,70.6333,147.9167,-29.85,100,49,4.34,scattered clouds
6,Jamestown,US,42.097,-79.2353,55.0,35,1,17.27,clear sky
7,Butaritari,KI,3.0707,172.7902,81.68,80,100,14.25,overcast clouds
8,Albany,US,42.6001,-73.9662,59.0,24,14,1.99,few clouds
9,Punta Arenas,CL,-53.15,-70.9167,50.0,53,40,21.85,scattered clouds
10,Rikitea,PF,-23.1203,-134.9692,76.98,69,100,16.58,light rain
11,Hobart,AU,-42.8794,147.3294,54.0,76,24,8.05,few clouds
12,Bredasdorp,ZA,-34.5322,20.0403,64.4,94,100,10.36,overcast clouds
13,Maragogi,BR,-9.0122,-35.2225,82.26,72,22,9.17,few clouds
14,Vaini,TO,-21.2,-175.2,77.0,73,20,8.05,few clouds
15,Mandalgovi,MN,45.7625,106.2708,34.41,24,11,3.76,few clouds
16,Airai,TL,-8.9266,125.4092,60.6,94,100,4.23,overcast clouds
17,Khatanga,RU,71.9667,102.5,-13.63,88,10,8.3,clear sky
18,Alvorada,BR,-12.48,-49.1247,88.95,54,41,4.97,scattered clouds
19,Talnakh,RU,69.4865,88.3972,4.33,75,100,10.78,overcast clouds
20,Mbandaka,CD,0.0487,18.2603,75.58,85,99,4.7,light rain
21,Gorom-Gorom,BF,14.4439,-0.2361,88.09,6,5,4.83,clear sky
22,Offa,NG,8.15,4.7167,88.38,27,97,0.78,overcast clouds
23,Balad,IQ,34.0164,44.1453,66.42,33,0,7.99,clear sky
24,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,84,75,16.11,snow
25,Vicuna,CL,-30.0319,-70.7081,66.2,63,75,8.05,broken clouds
