City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chipinge,ZW,2021-03-31 17:13:22,-20.1883,32.6236,58.89,76,85,5.01
1,Vanderhoof,CA,2021-03-31 17:13:22,54.0166,-124.0198,38.34,72,100,5.12
2,Klaksvik,FO,2021-03-31 17:13:22,62.2266,-6.589,39.2,70,75,18.41
3,Sinazongwe,ZM,2021-03-31 17:13:23,-17.2614,27.4618,74.52,64,49,5.32
4,Olafsvik,IS,2021-03-31 17:13:23,64.8945,-23.7142,40.73,82,82,23.24
5,Hithadhoo,MV,2021-03-31 17:13:23,-0.6,73.0833,83.86,76,5,19.33
6,Kaitangata,NZ,2021-03-31 17:13:23,-46.2817,169.8464,44.01,86,30,3.0
7,Atuona,PF,2021-03-31 17:08:51,-9.8,-139.0333,80.17,75,54,10.25
8,Bambous Virieux,MU,2021-03-31 17:10:00,-20.3428,57.7575,80.6,83,20,6.26
9,Constitucion,CL,2021-03-31 17:09:05,-35.3333,-72.4167,67.19,61,77,7.61
10,Beringovskiy,RU,2021-03-31 17:11:26,63.05,179.3167,-0.27,95,100,3.13
11,Albany,US,2021-03-31 17:10:45,42.6001,-73.9662,60.01,57,100,5.01
12,Nishihara,JP,2021-03-31 17:13:24,26.1842,127.7558,73.4,94,75,11.5
13,Jamestown,US,2021-03-31 17:13:24,42.097,-79.2353,43.0,87,90,21.85
14,Barrow,US,2021-03-31 17:13:24,71.2906,-156.7887,-9.4,64,75,21.85
15,Panjakent,TJ,2021-03-31 17:13:25,39.4952,67.6093,46.4,61,40,6.91
16,Nikolskoye,RU,2021-03-31 17:13:25,59.7035,30.7861,39.2,81,20,13.42
17,Talnakh,RU,2021-03-31 17:13:25,69.4865,88.3972,-21.75,83,5,3.62
18,Tuktoyaktuk,CA,2021-03-31 17:13:25,69.4541,-133.0374,-20.2,76,75,18.41
19,Rikitea,PF,2021-03-31 17:13:26,-23.1203,-134.9692,79.38,69,55,19.35
20,Haimen,CN,2021-03-31 17:13:26,23.1935,116.6142,77.0,83,0,4.47
21,Kaeo,NZ,2021-03-31 17:13:26,-35.1,173.7833,57.0,96,6,5.93
22,Punta Arenas,CL,2021-03-31 17:13:26,-53.15,-70.9167,48.2,71,0,8.05
23,Areosa,PT,2021-03-31 17:13:27,41.7178,-8.8571,78.8,31,0,6.91
24,Coihaique,CL,2021-03-31 17:13:27,-45.5752,-72.0662,53.6,62,90,4.61
25,Mar Del Plata,AR,2021-03-31 17:12:22,-38.0023,-57.5575,68.0,77,40,11.5
26,Thinadhoo,MV,2021-03-31 17:13:27,0.5333,72.9333,83.35,77,30,20.83
27,Kargasok,RU,2021-03-31 17:13:27,59.0556,80.8572,18.68,95,99,8.46
28,Wairoa,NZ,2021-03-31 17:13:28,-39.0333,177.3667,64.0,94,18,3.0
29,Saint George,US,2021-03-31 17:09:24,37.1041,-113.5841,55.99,17,1,3.44
30,Hohhot,CN,2021-03-31 17:13:28,40.8106,111.6522,51.8,28,20,11.18
31,Solnechnyy,RU,2021-03-31 17:13:28,50.7214,136.6319,23.09,93,49,3.38
32,Ushuaia,AR,2021-03-31 17:11:31,-54.8,-68.3,48.2,53,0,1.14
33,Oistins,BB,2021-03-31 17:13:28,13.0667,-59.5333,84.2,51,40,24.16
34,Hilo,US,2021-03-31 17:13:29,19.7297,-155.09,69.8,78,90,8.05
35,Nome,US,2021-03-31 17:13:29,64.5011,-165.4064,-9.4,84,1,6.53
36,Tilichiki,RU,2021-03-31 17:13:29,60.4667,166.1,19.02,96,100,0.94
37,Bluff,NZ,2021-03-31 17:13:29,-46.6,168.3333,39.99,92,16,1.01
38,Saint-Philippe,RE,2021-03-31 17:09:29,-21.3585,55.7679,80.6,74,49,4.61
39,Hermanus,ZA,2021-03-31 17:08:45,-34.4187,19.2345,61.0,90,100,5.88
40,Ribeira Grande,PT,2021-03-31 17:13:30,38.5167,-28.7,60.8,72,20,18.41
41,New Norfolk,AU,2021-03-31 17:09:18,-42.7826,147.0587,63.0,69,94,3.94
42,Saskylakh,RU,2021-03-31 17:13:30,71.9167,114.0833,-32.21,100,99,7.16
43,Cayenne,GF,2021-03-31 17:11:37,4.9333,-52.3333,86.0,66,75,13.8
44,Luau,AO,2021-03-31 17:13:30,-10.7073,22.2247,66.43,93,53,3.49
45,Bambanglipuro,ID,2021-03-31 17:13:30,-7.95,110.2833,77.0,90,100,3.22
46,Vaini,TO,2021-03-31 17:13:31,-21.2,-175.2,77.0,94,40,5.75
47,Mogadishu,SO,2021-03-31 17:13:31,2.0371,45.3438,80.96,74,38,14.76
48,Busselton,AU,2021-03-31 17:13:31,-33.65,115.3333,64.99,92,100,7.76
49,Yellowknife,CA,2021-03-31 17:09:33,62.456,-114.3525,12.0,72,90,8.05
50,Berezovyy,RU,2021-03-31 17:13:31,51.6667,135.7,21.22,96,37,3.49
51,Lima,PE,2021-03-31 17:08:39,-12.0432,-77.0282,75.2,64,0,8.05
52,Copiapo,CL,2021-03-31 17:11:01,-27.3667,-70.3333,62.6,67,75,11.5
53,Sechura,PE,2021-03-31 17:13:32,-5.5569,-80.8222,81.16,54,21,7.31
54,Smithers,CA,2021-03-31 17:13:32,54.7804,-127.1743,35.6,69,75,3.89
55,Sao Filipe,CV,2021-03-31 17:08:56,14.8961,-24.4956,72.25,72,42,13.56
56,Feldkirchen,DE,2021-03-31 17:13:32,48.148,11.7434,69.8,28,0,2.33
57,Ballina,AU,2021-03-31 17:13:33,-28.8667,153.5667,62.6,100,75,9.22
58,Lebu,CL,2021-03-31 17:13:33,-37.6167,-73.65,61.59,78,100,15.43
59,Bhadra,IN,2021-03-31 17:13:33,29.1167,75.1667,76.59,5,0,8.59
60,Butaritari,KI,2021-03-31 17:13:33,3.0707,172.7902,80.6,83,90,12.71
61,Airai,TL,2021-03-31 17:13:34,-8.9266,125.4092,59.4,95,99,1.7
62,Jumla,NP,2021-03-31 17:13:34,29.2747,82.1838,46.26,51,18,6.26
63,Vila Franca Do Campo,PT,2021-03-31 17:13:34,37.7167,-25.4333,62.6,77,20,6.91
64,Mataura,NZ,2021-03-31 17:13:34,-46.1927,168.8643,39.99,92,10,1.01
65,Maki,JP,2021-03-31 17:13:35,37.75,138.8833,39.0,89,0,1.01
66,Barcelos,PT,2021-03-31 17:09:23,41.5388,-8.6151,81.0,31,0,6.91
67,Vila Velha,BR,2021-03-31 17:13:35,-20.3297,-40.2925,80.6,89,75,9.22
68,Tabou,CI,2021-03-31 17:13:35,4.423,-7.3528,82.92,73,41,10.27
69,East London,ZA,2021-03-31 17:13:35,-33.0153,27.9116,64.4,82,20,10.36
70,Abnub,EG,2021-03-31 17:13:36,27.2696,31.1511,66.2,37,0,11.5
71,Matara,LK,2021-03-31 17:13:36,5.9485,80.5353,78.89,88,96,6.22
72,Saint-Pierre,RE,2021-03-31 17:13:36,-21.3393,55.4781,80.6,74,15,4.61
73,Bakreswar,IN,2021-03-31 17:13:36,23.8833,87.3667,82.4,57,0,3.44
74,Lavumisa,SZ,2021-03-31 17:13:36,-27.31,31.892,72.64,70,0,2.39
75,Ust-Kut,RU,2021-03-31 17:13:37,56.7938,105.7672,26.17,85,75,10.36
76,Beira,MZ,2021-03-31 17:13:37,-19.8436,34.8389,77.0,69,40,6.91
77,Faya,SA,2021-03-31 17:09:37,18.3851,42.4509,69.8,40,20,6.91
78,Zakamensk,RU,2021-03-31 17:13:37,50.3741,103.2863,29.55,90,100,2.51
79,Qaanaaq,GL,2021-03-31 17:13:38,77.484,-69.3632,10.17,92,100,18.75
80,Manjacaze,MZ,2021-03-31 17:13:38,-24.7117,33.8828,73.92,53,27,3.94
81,Kapaa,US,2021-03-31 17:11:37,22.0752,-159.319,75.2,73,75,8.05
82,Muros,ES,2021-03-31 17:13:38,42.7762,-9.0603,78.8,24,20,10.36
83,Longyearbyen,SJ,2021-03-31 17:13:38,78.2186,15.6401,28.4,64,75,6.91
84,Dikson,RU,2021-03-31 17:13:39,73.5069,80.5464,-24.21,93,38,5.23
85,Odweyne,SO,2021-03-31 17:13:39,9.4092,45.064,77.07,36,100,12.01
86,Sisimiut,GL,2021-03-31 17:13:39,66.9395,-53.6735,21.61,68,99,15.26
87,Port Alfred,ZA,2021-03-31 17:13:39,-33.5906,26.891,67.03,86,26,10.87
88,Nanortalik,GL,2021-03-31 17:13:40,60.1432,-45.2371,31.95,92,92,7.99
89,Torbay,CA,2021-03-31 17:13:40,47.6666,-52.7314,34.0,69,40,14.97
90,Avarua,CK,2021-03-31 17:13:40,-21.2078,-159.775,77.0,83,20,4.61
91,Bengkulu,ID,2021-03-31 17:09:01,-3.8004,102.2655,77.27,78,99,17.56
92,Ixtapa,MX,2021-03-31 17:13:40,20.7,-105.2,77.0,53,20,5.75
93,Hasaki,JP,2021-03-31 17:13:40,35.7333,140.8333,57.2,77,75,1.14
94,Pacific Grove,US,2021-03-31 17:08:48,36.6177,-121.9166,71.6,33,1,3.44
95,Ayorou,NE,2021-03-31 17:13:41,14.7308,0.9174,97.9,6,0,10.89
96,Ponta Do Sol,PT,2021-03-31 17:13:41,32.6667,-17.1,60.01,73,65,3.0
97,Carnarvon,AU,2021-03-31 17:13:41,-24.8667,113.6333,78.8,83,0,9.22
98,Thompson,CA,2021-03-31 17:13:42,55.7435,-97.8558,12.2,44,20,9.22
99,Paamiut,GL,2021-03-31 17:13:42,61.994,-49.6678,28.22,76,98,10.13
100,Makakilo City,US,2021-03-31 17:10:10,21.3469,-158.0858,71.6,78,1,4.61
101,Upernavik,GL,2021-03-31 17:12:27,72.7868,-56.1549,0.82,68,66,20.18
102,Mahibadhoo,MV,2021-03-31 17:13:42,3.7833,72.9667,83.59,76,86,13.33
103,Port Hardy,CA,2021-03-31 17:13:42,50.6996,-127.4199,42.8,93,75,7.92
104,Sosnovka,RU,2021-03-31 17:13:43,56.255,51.2842,33.15,96,100,15.68
105,Morro Da Fumaca,BR,2021-03-31 17:13:43,-28.6508,-49.21,72.0,62,6,13.62
106,Santa Fe,AR,2021-03-31 17:13:43,-31.6333,-60.7,81.0,38,0,4.0
107,Trairi,BR,2021-03-31 17:13:43,-3.2778,-39.2689,83.23,75,100,9.57
108,Kruisfontein,ZA,2021-03-31 17:13:44,-34.0033,24.7314,66.99,80,82,4.0
109,Roald,NO,2021-03-31 17:13:44,62.5833,6.1333,43.0,70,0,6.91
110,Talaya,RU,2021-03-31 17:13:44,61.3833,152.75,11.14,96,100,3.44
111,Cape Town,ZA,2021-03-31 17:12:38,-33.9258,18.4232,68.0,88,75,4.61
112,San Cristobal,VE,2021-03-31 17:13:44,7.7669,-72.225,80.6,78,75,5.75
113,Santa Maria Del Oro,MX,2021-03-31 17:13:45,25.9333,-105.3667,74.89,8,38,8.63
114,Aripuana,BR,2021-03-31 17:13:45,-9.1667,-60.6333,76.41,90,99,4.68
115,Richards Bay,ZA,2021-03-31 17:13:45,-28.783,32.0377,73.78,85,0,6.44
116,Bhinmal,IN,2021-03-31 17:13:45,25.0,72.25,79.75,11,1,5.68
117,Zhigansk,RU,2021-03-31 17:11:26,66.7697,123.3711,13.44,91,100,8.16
118,Sambava,MG,2021-03-31 17:13:46,-14.2667,50.1667,79.38,84,43,8.97
119,Lansdale,US,2021-03-31 17:09:57,40.2415,-75.2838,64.99,77,90,9.22
120,Saint-Tite,CA,2021-03-31 17:13:46,46.7334,-72.5658,55.4,58,100,5.75
121,Shahr-E Babak,IR,2021-03-31 17:13:46,30.1165,55.1186,66.18,14,0,9.62
122,Chuy,UY,2021-03-31 17:13:46,-33.6971,-53.4616,71.56,55,26,11.41
123,Georgetown,MY,2021-03-31 17:13:47,5.4112,100.3354,82.4,83,20,3.85
124,Clyde River,CA,2021-03-31 17:13:47,70.4692,-68.5914,-4.0,50,75,3.44
125,Fort Nelson,CA,2021-03-31 17:11:36,58.8053,-122.7002,28.4,86,75,4.61
126,Christchurch,NZ,2021-03-31 17:11:34,-43.5333,172.6333,55.99,76,75,10.36
127,Tarakan,ID,2021-03-31 17:13:47,3.3,117.6333,77.9,84,93,5.79
128,Ilulissat,GL,2021-03-31 17:13:47,69.2167,-51.1,19.4,58,40,13.8
129,Jiexiu,CN,2021-03-31 17:13:48,37.0244,111.9125,51.78,68,87,3.11
130,Puerto Ayora,EC,2021-03-31 17:12:28,-0.7393,-90.3518,80.6,78,40,11.5
131,Hwange,ZW,2021-03-31 17:13:48,-18.3693,26.5019,69.82,62,31,4.43
132,Loukhi,RU,2021-03-31 17:13:48,66.0764,33.0381,34.9,84,93,13.2
133,Antofagasta,CL,2021-03-31 17:11:28,-23.65,-70.4,71.01,68,75,12.66
134,Lompoc,US,2021-03-31 17:13:48,34.6391,-120.4579,72.0,34,0,5.75
135,Hayrabolu,TR,2021-03-31 17:13:49,41.2131,27.1069,41.0,81,75,14.97
136,Kalachinsk,RU,2021-03-31 17:13:49,55.0529,74.5751,14.13,95,100,8.93
